0,0,0
0,0,0
7.7236e-06,1.4368e-07,0.00016573
1.5447e-05,3.0946e-07,0.00033145
2.3171e-05,4.7565e-07,0.00049718
0.00010041,2.133e-06,0.0021544
0.00017764,3.7902e-06,0.0038117
0.00025488,5.4475e-06,0.005469
0.0010272,2.202e-05,0.022041
0.0017996,3.8592e-05,0.038614
0.002572,5.5165e-05,0.055186
0.010296,0.00022085,0.22087
0.018019,0.00038638,0.3864
0.025743,0.00055165,0.55168
0.035743,0.00076507,0.76509
0.045743,0.00097762,0.97765
0.055743,0.0011891,1.1891
0.065743,0.0013992,1.3992
0.075743,0.0016077,1.6077
0.085743,0.0018144,1.8144
0.095743,0.0020191,2.0191
0.10574,0.0022215,2.2215
0.11574,0.0024213,2.4214
0.12574,0.0026185,2.6185
0.13574,0.0028127,2.8127
0.14574,0.0030037,3.0037
0.15574,0.0031913,3.1913
0.16574,0.0033753,3.3753
0.17574,0.0035555,3.5555
0.18574,0.0037317,3.7317
0.19574,0.0039037,3.9037
0.20574,0.0040712,4.0713
0.21574,0.0042342,4.2342
0.22574,0.0043924,4.3924
0.23574,0.0045456,4.5456
0.24574,0.0046937,4.6937
0.25574,0.0048365,4.8365
0.26574,0.0049739,4.9739
0.27574,0.0051056,5.1056
0.28574,0.0052315,5.2315
0.29574,0.0053516,5.3516
0.30574,0.0054656,5.4656
0.31574,0.0055734,5.5734
0.32574,0.005675,5.675
0.33574,0.0057701,5.7701
0.34574,0.0058587,5.8587
0.35574,0.0059407,5.9407
0.36574,0.006016,6.016
0.37574,0.0060845,6.0845
0.38574,0.0061462,6.1462
0.39574,0.0062008,6.2008
0.40574,0.0062485,6.2485
0.41574,0.0062892,6.2892
0.42574,0.0063227,6.3227
0.43574,0.0063491,6.3491
0.44574,0.0063683,6.3683
0.45574,0.0063804,6.3804
0.46574,0.0063852,6.3852
0.47574,0.0063828,6.3828
0.48574,0.0063732,6.3732
0.49574,0.0063565,6.3565
0.5,0.0063471,6.3471
0,0,0
7.6294e-06,1.4522e-07,0.00016777
1.5259e-05,3.1301e-07,0.00033555
2.2888e-05,4.8125e-07,0.00050332
9.9182e-05,2.1591e-06,0.002181
