t,i,v
6.104,2.99650433846511,0
7.64,0.644473146163676,0
2.161,2.94971548806691,10
1.671,2.7069941655872403,10
10.445,0.0389403006067149,0
1.787,2.77562619260903,10
9.109,0.14822007541430401,0
10.775,0.0279904844004006,0
2.2,2.9643957977591198,10
0.284,0.824467706245289,10
5.854,3.32379995518034,10
0.08900000000000001,0.28398387769118394,10
6.086,3.05095725282759,0
5.917999999999999,3.3243912633051402,10
4.321000000000001,3.2891403449829304,10
10.139,0.0528883359298057,0
8.75,0.212273977090405,0
2.387,3.0273490352923704,10
2.698,3.1091692758412304,10
4.126,3.2796198687641205,10
3.653,3.2471134889250695,10
5.754,3.3227967938823597,10
10.261,0.046811166787619006,0
8.443999999999999,0.28830844227168606,0
5.787000000000001,3.3231389934500997,10
4.814,3.3063472992114504,10
7.233,0.96839183260856,0
2.835,3.13788234721528,10
7.244,0.9577926245351299,0
10.591,0.0336481026935744,0
5.239,3.31569443077029,10
11.54,0.0130199377333123,0
10.335,0.0434705960364166,0
4.543,3.2979424211981,10
6.268,2.54305047297708,0
8.959,0.17222008371485004,0
3.31,3.21181416928367,10
10.772,0.0280746240768335,0
6.723,1.61306594583343,0
10.14,0.0528354475938758,0
10.165,0.0515302911823482,0
9.711,0.0811579263518042,0
3.681,3.24949533416662,10
9.324,0.11953277405006699,0
3.958,3.2697883684959197,10
6.7010000000000005,1.6489647876834101,0
1.109,2.23431436557227,10
5.069,3.3124240781565897,10
11.300999999999998,0.0165370188429251,0
4.9319999999999995,3.30935236719625,10
1.084,2.20647847294965,10
10.651,0.0316876384615481,0
3.545,3.23727511959875,10
2.302,3.0001888381284396,10
3.26,3.20558055260179,10
5.317,3.31701861265028,10
6.193,2.7412166619983704,0
5.268,3.31619886158588,10
4.287,3.28761117007196,10
5.655,3.3216997189777007,10
3.512,3.2340506754861402,10
1.97,2.8689351090447097,10
11.657,0.011581665824145,0
10.332,0.043601269083461,0
1.3359999999999999,2.45760174529059,10
0.647,1.58851736381754,10
3.3819999999999997,3.2202600701786,10
3.5789999999999997,3.24048778059197,10
0.311,0.891333760944726,10
3.214,3.19956358697933,10
8.972999999999999,0.16982461205439703,0
9.146,0.142833505249144,0
6.986000000000001,1.2398682135063999,0
7.432,0.793566406648317,0
10.673,0.0309977816918784,0
11.562000000000001,0.0127364867529906,0
7.898,0.497852609964769,0
6.836,1.44062946216021,0
7.582000000000001,0.682977676601431,0
2.3930000000000002,3.02918035743124,10
2.694,3.10827037347955,10
5.301,3.3167553449410403,10
11.213,0.0180590232598789,0
4.63,3.30089270692487,10
2.3369999999999997,3.0116528375808596,10
4.127,3.27967358222869,10
4.25,3.28588688528261,10
3.783,3.2576290061281497,10
11.104000000000001,0.0201398411470472,0
4.848,3.30724984544685,10
11.56,0.0127619979869666,0
5.474,3.31939017065858,10
0.789,1.81960146001266,10
4.988,3.3106590266473197,10
0.011000000000000001,0.0364838822348718,10
8.661,0.23204291076756198,0
1.12,2.24634330915037,10
4.598,3.29983728239345,10
1.693,2.720629902927,10
8.632,0.23887414527853798,0
8.128,0.395515110508767,0
5.066,3.31236122472612,10
0.631,1.5603615827735502,10
8.372,0.309843369828074,0
0.726,1.72111744296536,10
1.315,2.43900752767196,10
9.897,0.0673770127389266,0
7.194,1.00692489209782,0
2.9819999999999998,3.16461408373218,10
0.542,1.3952459080747102,10
7.596,0.6734778921760021,0
7.627000000000001,0.652910238532328,0
2.557,3.0752071029467003,10
7.187,1.01400164503309,0
10.401,0.0406928228575871,0
3.864,3.2635221096678704,10
9.183,0.137642692224594,0
6.256,2.5737663657424705,0
3.5980000000000003,3.24223605911309,10
4.065,3.27623960767166,10
1.639,2.6866168240925004,10
0.06,0.19421245925610603,10
0.239,0.708930902846798,10
7.517,0.7288694947153249,0
11.154000000000002,0.0191571302500655,0
9.39,0.11189462403553199,0
8.772,0.20765265952841,0
0.126,0.394802434185616,10
0.833,1.88479351609422,10
2.49,3.05731086961607,10
2.149,2.9450820115695695,10
3.9189999999999996,3.2672598652311597,10
4.832,3.3068289409006804,10
6.67,1.70090965639909,0
7.877000000000001,0.508423405740652,0
11.285,0.0168038737375367,0
10.037,0.0585706580760488,0
11.347000000000001,0.0157931834347862,0
7.196000000000001,1.00491204923851,0
11.806,0.00997766171371035,0
9.383,0.112681028875952,0
6.7829999999999995,1.5190826945486497,0
0.162,0.49875908120703205,10
3.326,3.21374396143887,10
6.854,1.4149173769913999,0
2.003,2.8840175630470495,10
3.865,3.26359192089153,10
3.536,3.23640625715824,10
5.347,3.3175010231602595,10
11.095,0.0203220093432912,0
0.132,0.412389600343573,10
2.2159999999999997,2.9702547317592,10
7.3420000000000005,0.868339055013787,0
2.594,3.08458785010635,10
1.692,2.72001658617984,10
4.606,3.30010431478498,10
1.203,2.33296236151536,10
11.134,0.0195443255248539,0
10.263,0.0467175912652106,0
7.574,0.688466167393846,0
11.195,0.0183871944673813,0
10.485,0.0374126808200294,0
11.534,0.0130983315091649,0
0.293,0.846957388155418,10
1.921,2.84560091006782,10
0.9390000000000001,2.0305500134035,10
4.561,3.2985740715779706,10
2.266,2.98797092403811,10
10.814,0.0269193429389092,0
9.398,0.11100259383444899,0
6.997999999999999,1.22507135408816,0
10.559000000000001,0.0347428113028158,0
3.358,3.21751209389786,10
10.884,0.0250985499414539,0
2.265,2.9876252159207004,10
9.041,0.158655024521468,0
4.593,3.29966929852327,10
6.781000000000001,1.52212542326977,0
3.157,3.19171317529082,10
9.95,0.0638973177512767,0
7.277,0.926685995681278,0
1.286,2.4126789952144,10
8.7,0.223163079357259,0
9.07,0.15411786677429098,0
5.058,3.31219269033776,10
6.777,1.5282291767129499,0
11.331,0.0160480351913877,0
4.647,3.3014398076312403,10
8.35,0.316738945399831,0
11.687999999999999,0.0112279679610746,0
5.7589999999999995,3.32284937131953,10
11.495999999999999,0.0136059047193674,0
0.503,1.31812791147648,10
3.14,3.1892838268009402,10
2.761,3.1228625888716697,10
1.035,2.1498584125035802,10
7.876,0.50893233807873,0
4.7989999999999995,3.30593925194213,10
2.283,2.99379534973508,10
3.847,3.26232456976159,10
1.541,2.6199941150413104,10
6.002999999999999,3.3151302781261403,0
2.5540000000000003,3.0744311729130094,10
8.773,0.20744500686888104,0
1.0270000000000001,2.14034786563132,10
7.817,0.539878760259704,0
1.6159999999999999,2.67156235345458,10
9.85,0.0706209906386892,0
9.51,0.0992356705243927,0
6.871,1.39105525156077,0
1.224,2.35376139854593,10
8.145,0.38884487567375503,0
2.895,3.1492700522186805,10
6.381,2.2711987966730898,0
2.747,3.1198937806546896,10
3.6639999999999997,3.24805717931998,10
5.178,3.31458439073609,10
10.999,0.0223707104678956,0
8.287,0.33734611120513996,0
11.304,0.0164874573809158,0
11.169,0.0188717761045885,0
8.321,0.326063591464768,0
4.6930000000000005,3.30287437899703,10
11.242,0.0175425779878987,0
8.474,0.279783440503826,0
0.134,0.41822856686581894,10
9.937000000000001,0.0647338267279281,0
7.818,0.539338881499444,0
10.422,0.0398467651916441,0
2.39,3.02826607053958,10
4.854,3.30740595564313,10
11.91,0.00899165325541972,0
11.148,0.019272476406518996,0
11.05,0.0212578665581247,0
1.9240000000000002,2.84706264462808,10
8.212,0.36363367173492206,0
11.157,0.0190997163115489,0
3.844,3.2621111167071404,10
4.136,3.28015459273826,10
3.76,3.2558667369502503,10
5.397,3.31827355078934,10
5.216,3.31528382683963,10
8.584,0.25062576250100305,0
10.34,0.0432536773277063,0
8.618,0.24224359943778698,0
6.303999999999999,2.4530847692121096,0
1.8459999999999999,2.8075945564355598,10
2.173,2.95429366763866,10
3.762,3.25602159267642,10
3.1430000000000002,3.18971554331606,10
9.377,0.11335948767517802,0
7.502999999999999,0.739150608846176,0
